"motor:","AeroTech G78G/L"
"contributor:","John Coker"
"details:","https://www.thrustcurve.org/simfiles/5f4294d20002e9000000052e/"

"Time (s)","Thrust (N)"
0.006,1.158086
0.008,7.48984
0.01,33.7575
0.012,64.5955
0.014,62.9316
0.016,58.8272
0.018,74.9118
0.02,85.0062
0.022,91.1072
0.026,93.9913
0.028,98.4284
0.032,97.652
0.038,102.2
0.074,97.3192
0.124,95.4334
0.376,99.3159
0.68,99.4268
0.994,91.6619
1.2459,83.0095
1.2819,77.3522
1.3159,61.9332
1.3599,44.6285
1.4239,29.0986
1.5039,21.2227
1.5979,19.33693
1.6559,16.34188
1.6759,13.90147
1.6779,11.79384
1.7139,5.0938
1.7339,1.388816
1.8079,0
