"motor:","AeroTech M1939W"
"contributor:","John Coker"
"details:","https://www.thrustcurve.org/simfiles/5f4294d20002e9000000008f/"

"Time (s)","Thrust (N)"
0.134,1905.185
0.406,2021.155
0.679,2095.9
0.952,2158.087
1.225,2198.211
1.498,2219.694
1.77,2228.643
2.042,2229.881
2.315,2225.641
2.587,2211.713
2.86,2164.724
3.133,2047.014
3.405,1916.238
3.677,1805.664
3.95,1658.489
4.223,1497.704
4.496,1339.452
4.769,1213.061
5.041,1102.13
5.313,966.508
5.585,670.253
5.858,443.975
6.131,155.355
6.404,41.358
6.677,5.775
6.95,0
